country_code,country_name,wb_income,wb_region,skill_group_id,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,net_per_10K_2019
''af,Afghanistan,Low income,South Asia,2549,-791.59,-705.88,-550.04,-680.92,-1208.79
''af,Afghanistan,Low income,South Asia,2608,-1610.25,-933.55,-776.06,-532.22,-790.09
''af,Afghanistan,Low income,South Asia,3806,-1731.45,-769.68,-756.59,-600.44,-767.64
''af,Afghanistan,Low income,South Asia,50321,-957.5,-828.54,-964.73,-406.5,-739.51
''af,Afghanistan,Low income,South Asia,1606,-1510.71,-841.17,-842.32,-581.71,-718.64
''af,Afghanistan,Low income,South Asia,3139,-1085.03,-1045.71,-783.03,-473.42,-717.73
''af,Afghanistan,Low income,South Asia,1315,-687.8,-294.93,-769.01,-415.34,-698.84
''af,Afghanistan,Low income,South Asia,1017,-906.42,-210.44,-480.92,-126.62,-696.16
''af,Afghanistan,Low income,South Asia,2130,-1096.96,-566.7,-478.3,-324.99,-692.24
''af,Afghanistan,Low income,South Asia,2265,-1046.26,-796.25,-796.72,-517.62,-640.96
''af,Afghanistan,Low income,South Asia,1989,-989.69,-778.24,-328.94,-350.93,-625.19
''af,Afghanistan,Low income,South Asia,17168,-639.43,-851.4,-486.67,-377.28,-560.86
''af,Afghanistan,Low income,South Asia,1871,-1488.62,-839.32,-777.83,-480.36,-553.91
''af,Afghanistan,Low income,South Asia,3980,-1115.58,-955.82,-1025.11,-722.36,-534.9
''af,Afghanistan,Low income,South Asia,2917,-1191.25,-789.13,-743.97,-465.34,-531.68
''af,Afghanistan,Low income,South Asia,2060,-1218.97,-902.07,-740.96,-587.82,-489.62
''af,Afghanistan,Low income,South Asia,635,-64.75,-620.9,-784.09,-289.27,-481.75
''af,Afghanistan,Low income,South Asia,344,-793.47,-651.12,-617.77,-412.37,-481
''af,Afghanistan,Low income,South Asia,314,-590.56,-505.68,-482.94,-186.71,-470.25
''af,Afghanistan,Low income,South Asia,441,-535.68,-575.16,-617.85,-166.44,-465.04
''af,Afghanistan,Low income,South Asia,20157,-1191.93,-935.16,-605.6,54.71,-459.57
''af,Afghanistan,Low income,South Asia,5785,-1122.08,-449.87,-436.09,-514.6,-456.65
''af,Afghanistan,Low income,South Asia,354,-384.08,-597,-650.11,-613.52,-455.72
''af,Afghanistan,Low income,South Asia,49,-703.76,-662.98,-590.62,-265.43,-454.04
''af,Afghanistan,Low income,South Asia,172,-727.75,-375.73,-638.52,40.55,-444.72
''af,Afghanistan,Low income,South Asia,43756,-801,-46.75,-423.49,213.14,-442.94
''af,Afghanistan,Low income,South Asia,1774,-723.37,-596.29,-652.09,-506.2,-432.87
''af,Afghanistan,Low income,South Asia,86,-565.83,-639.7,-630.19,-368.8,-429.4
''af,Afghanistan,Low income,South Asia,24937,-637.53,-737.59,-882.91,-540.54,-417.59
''af,Afghanistan,Low income,South Asia,337,-442.53,-612.08,-569.49,-223.58,-415.6
''af,Afghanistan,Low income,South Asia,774,-250.34,-882.68,-698.69,-345.54,-409.63
''af,Afghanistan,Low income,South Asia,785,-533.09,-698.89,-788.02,-218.08,-407.53
''af,Afghanistan,Low income,South Asia,987,-442.42,-595.84,-494.38,-51.1,-406.5
af,Afghanistan,Low income,South Asia,68,-714.7,-632.84,-745.7,-265.41,-405.87
af,Afghanistan,Low income,South Asia,25120,-593.81,-499.38,-467.67,-280.18,-402.25
af,Afghanistan,Low income,South Asia,50370,-608.19,-605.11,-736.35,-204.77,-401.17
af,Afghanistan,Low income,South Asia,994,-686.45,-507.4,-460.15,-277.14,-400
af,Afghanistan,Low income,South Asia,613,-868.63,-742.97,-718.98,-436.18,-381.75
af,Afghanistan,Low income,South Asia,9985,-817.93,-703.52,-736.28,-277.55,-380.71
af,Afghanistan,Low income,South Asia,561,-1181.57,-880.46,-853.37,-286.79,-379.37
af,Afghanistan,Low income,South Asia,1735,-563.17,-580.87,-430.71,194,-375.82
af,Afghanistan,Low income,South Asia,236,-504.65,-454.74,-551.63,-243.94,-375.25
af,Afghanistan,Low income,South Asia,2186,-1131.49,-759.12,-687.48,-428.23,-369.78
af,Afghanistan,Low income,South Asia,4271,-822.5,-664.57,-675.54,-447.58,-369.71
af,Afghanistan,Low income,South Asia,43733,-1089.02,96.31,-271.6,-1076.02,-364.6
af,Afghanistan,Low income,South Asia,7462,-332.93,-607.62,-526.74,-413.31,-356.44
af,Afghanistan,Low income,South Asia,45513,-608.65,-469.95,-526.3,-221.7,-353.67
af,Afghanistan,Low income,South Asia,1790,-1168.01,-913.1,-136.36,124.83,-347.71
af,Afghanistan,Low income,South Asia,44,-621.87,-537.87,-703.92,471.63,-339.42
af,Afghanistan,Low income,South Asia,4271,-822.5,-664.57,-675.54,-447.58,-369.71
af,Afghanistan,Low income,South Asia,43733,-1089.02,96.31,-271.6,-1076.02,-364.6
af,Afghanistan,Low income,South Asia,7462,-332.93,-607.62,-526.74,-413.31,-356.44
af,Afghanistan,Low income,South Asia,45513,-608.65,-469.95,-526.3,-221.7,-353.67
af,Afghanistan,Low income,South Asia,1790,-1168.01,-913.1,-136.36,124.83,-347.71
af,Afghanistan,Low income,South Asia,44,-621.87,-537.87,-703.92,471.63,-339.42
af,Afghanistan,Low income,South Asia,5385,-1097.07,-318.97,-638.23,-360.84,-332.85
af,Afghanistan,Low income,South Asia,28976,-833.14,-491.06,-500.94,-25.24,-332.41
af,Afghanistan,Low income,South Asia,618,-378.92,-503.14,-717.87,-264.98,-332.07
af,Afghanistan,Low income,South Asia,311,-393.34,-616.09,-577.12,-264.32,-331.47
af,Afghanistan,Low income,South Asia,5587,-501.99,-531.32,-482.55,-327.44,-331.03
af,Afghanistan,Low income,South Asia,1655,-1242.57,-760.23,-619.85,-448.61,-329.47
af,Afghanistan,Low income,South Asia,69,-387.95,-329.53,-276.53,442.26,-326.28
af,Afghanistan,Low income,South Asia,3104,-430.84,-623.13,-650.64,-630.19,-326.09
af,Afghanistan,Low income,South Asia,976,-703.16,-674.3,-707.65,-269.79,-324.84
af,Afghanistan,Low income,South Asia,3399,-1180.78,-690.66,-539.55,-411.6,-319.63
af,Afghanistan,Low income,South Asia,340,-403.7,81.63,-421.73,-370.71,-313.41
af,Afghanistan,Low income,South Asia,2269,-660.54,-497.39,-518.49,-270.96,-311.75
af,Afghanistan,Low income,South Asia,193,-511.41,-319.93,-208.7,182.29,-310.92
